"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"Middlesbrough","E06000002","Upper tier local authority","2020-04-13",19,321
"Milton Keynes","E06000042","Upper tier local authority","2020-04-13",13,331
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-13",19,625
"Newham","E09000025","Upper tier local authority","2020-04-13",17,797
"Norfolk","E10000020","Upper tier local authority","2020-04-13",46,781
"North East Lincolnshire","E06000012","Upper tier local authority","2020-04-13",4,84
"North Lincolnshire","E06000013","Upper tier local authority","2020-04-13",7,136
"North Somerset","E06000024","Upper tier local authority","2020-04-13",3,127
"North Tyneside","E08000022","Upper tier local authority","2020-04-13",12,333
"North Yorkshire","E10000023","Upper tier local authority","2020-04-13",23,530
"Northamptonshire","E10000021","Upper tier local authority","2020-04-13",15,772
"Northumberland","E06000057","Upper tier local authority","2020-04-13",29,487
"Nottingham","E06000018","Upper tier local authority","2020-04-13",13,332
"Nottinghamshire","E10000024","Upper tier local authority","2020-04-13",18,721
"Oldham","E08000004","Upper tier local authority","2020-04-13",7,377
"Oxfordshire","E10000025","Upper tier local authority","2020-04-13",35,1008
"Peterborough","E06000031","Upper tier local authority","2020-04-13",6,113
"Plymouth","E06000026","Upper tier local authority","2020-04-13",12,161
"Portsmouth","E06000044","Upper tier local authority","2020-04-13",3,192
"Reading","E06000038","Upper tier local authority","2020-04-13",23,245
"Redbridge","E09000026","Upper tier local authority","2020-04-13",17,541
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-13",14,194
"Richmond upon Thames","E09000027","Upper tier local authority","2020-04-13",5,296
"Rochdale","E08000005","Upper tier local authority","2020-04-13",6,278
"Rotherham","E08000018","Upper tier local authority","2020-04-13",16,392
"Rutland","E06000017","Upper tier local authority","2020-04-13",1,12
"Salford","E08000006","Upper tier local authority","2020-04-13",5,378
"Sandwell","E08000028","Upper tier local authority","2020-04-13",25,620
"Sefton","E08000014","Upper tier local authority","2020-04-13",30,544
"Sheffield","E08000019","Upper tier local authority","2020-04-13",8,1368
"Shropshire","E06000051","Upper tier local authority","2020-04-13",17,277
"Slough","E06000039","Upper tier local authority","2020-04-13",11,261
